a,b,c,d,e,f,g,h,i,j,k,l,m
210475,136032,221436466,37.35682135,-83.51625301,40.781545,-73.94959,212895,30115,45.434183,-91.73751177,45.509471,-91.750366
109830,207675,1685891,47.62534987,-122.274495,47.619879,-122.324197,209905,30114,47.98868013,-122.2022829,47.996637,-122.190285
32337,37381,58365,41.18435775,-73.20524036,41.180801,-73.207891,37437,30092,41.19514591,-73.17145238,41.196852,-73.182327
191817,136032,111702032,39.90320254,-79.19342076,40.781545,-73.94959,148242,30037,34.74953702,-79.49627568,34.763151,-79.463382
76226,186293,769497,32.84625105,-96.7062614,32.809842,-96.778457,187847,30008,32.93866836,-96.76350828,32.934332,-96.759464
71460,43928,48920,27.95206036,-82.48276915,27.970308,-82.489905,43945,30003,27.98012526,-82.44615887,27.968215,-82.449002
195841,105811,3385535,45.00344056,-93.29830077,44.952841,-93.282121,107634,30002,44.09489607,-93.21866293,44.07462,-93.218206
178993,9542,441123,34.74174301,-92.34641716,34.739313,-92.321319,9205,30000,34.97731654,-92.02345428,34.959247,-91.998078
19894,60041,1152761,41.9391693,-87.68915107,41.997296,-87.65714,60914,29998,41.88051456,-87.75885688,41.877442,-87.760462
44071,15244,8682343,33.98427152,-118.2039174,34.066842,-118.301495,21459,29995,33.79533302,-117.8177388,33.789158,-117.805718
142761,2049,106287,34.73455226,-86.60157855,34.701414,-86.624047,2082,29992,34.63481846,-86.549242,34.615025,-86.54687
25073,38174,43045,41.74663132,-72.68558053,41.739195,-72.678204,38196,29934,41.76953319,-72.69776426,41.771404,-72.691856
152700,105811,2351220,44.96016364,-93.2402345,44.952841,-93.282121,107417,29930,44.78126111,-93.50756699,44.793955,-93.497732
68589,205524,124694,36.87596346,-76.27402431,36.872797,-76.311095,205442,29925,36.93527335,-76.25053269,36.942797,-76.234018
91617,13313,341603,35.34188819,-119.0191274,35.379254,-118.969655,13253,29889,35.42057509,-119.0299964,35.407686,-119.035207
200939,136032,142228285,39.56129868,-80.06671028,40.781545,-73.94959,181045,29844,35.26931804,-87.32278978,35.246701,-87.320697
190183,186293,6175141,32.84472183,-96.96006031,32.809842,-96.778457,192955,29781,33.12486324,-96.10239568,33.132232,-96.103916
70166,186293,533899,32.86588781,-96.71879085,32.809842,-96.778457,187666,29765,32.89484584,-96.62541002,32.888156,-96.624308
53637,136032,11409013,40.74211125,-73.94795849,40.781545,-73.94959,135042,29759,40.68282456,-73.53567049,40.674535,-73.535098
96346,208430,64869,47.39110991,-122.1940119,47.376421,-122.19317,208218,29728,47.45224908,-122.1915588,47.447226,-122.177108
215342,136032,296525846,37.40682339,-91.23750677,40.781545,-73.94959,178377,29722,44.30862888,-96.80376211,44.31549,-96.781517
163764,191242,5196027,29.78597395,-95.42859174,29.715277,-95.491289,184798,29720,29.41450775,-95.24537734,29.421425,-95.254328
165317,15244,19648020,33.82047376,-117.9015637,34.066842,-118.301495,32927,29706,34.35189952,-119.0710311,34.350076,-119.065376
149074,51669,43569,28.95254386,-81.98051985,28.949348,-81.975416,51658,29677,28.89495,-81.988625,28.89495,-81.988625
179893,182134,1108222,35.1053115,-89.91325329,35.061888,-89.928766,182743,29673,35.44207034,-89.78639426,35.421493,-89.771404
121682,195382,132003,35.17747819,-101.8719309,35.159761,-101.879782,195282,29666,35.23026184,-101.8033668,35.229819,-101.793056
188012,205302,58119,36.69312429,-79.91005528,36.684258,-79.854597,147986,29660,36.49220938,-79.78382987,36.496049,-79.772974
97491,98970,33069,42.603772,-82.97525982,42.604229,-82.96801,98834,29630,42.64437804,-82.96512776,42.648852,-82.953037
174120,136032,45176362,40.63310324,-74.24796639,40.781545,-73.94959,141766,29609,40.92880915,-72.66927228,40.928824,-72.656463
24768,47245,36934,25.77404664,-80.3395913,25.775245,-80.332669,47262,29581,25.77100853,-80.37331875,25.772174,-80.382864
183407,148591,5123280,35.6435461,-80.06442756,35.786011,-78.680179,145822,29552,35.34713829,-78.65619215,35.308905,-78.625918
