a,b,c,d,e,f,g,h,pop,j,k,l,m
160,181340,10852597,-8.917704571,13.30820117,-8.875,13.375,181696,1238782,-9.125,13.125,-9.125,13.125
162,131911,50392077,22.83103834,113.7058061,22.625,114.125,131388,1096756,22.875,112.875,22.875,112.875
163,114752,24339965,30.11481873,31.25170758,30.125,31.375,114111,1266762,30.375,30.875,30.375,30.875
164,213525,8259492,-34.625,-58.49220691,-34.625,-58.375,213523,1078171,-34.625,-58.875,-34.625,-58.875
166,56276,2900632,51.625,-0.125,51.625,-0.125,56275,1515729,51.625,-0.375,51.625,-0.375
167,130713,3891633,23.125,72.625,23.125,72.625,131227,3237857,22.875,72.625,22.875,72.625
169,131911,51488833,22.83197476,113.6881092,22.625,114.125,131908,1838759,22.625,113.375,22.625,113.375
170,131911,53327592,22.82483818,113.6773131,22.625,114.125,131907,2181056,22.625,113.125,22.625,113.125
171,185258,6645897,-12.125,-76.98499339,-12.125,-76.875,184959,2814727,-11.875,-77.125,-11.875,-77.125
172,185258,9460624,-12.05061994,-77.02664819,-12.125,-76.875,184960,1255650,-11.875,-76.875,-11.875,-76.875
173,111215,2755800,31.625,120.375,31.625,120.375,111214,1546379,31.625,120.125,31.625,120.125
174,131911,55508648,22.8169861,113.6556115,22.625,114.125,130358,1271206,23.375,113.125,23.375,113.125
175,131911,56779854,22.8294791,113.643732,22.625,114.125,130359,1019577,23.375,113.375,23.375,113.375
178,116286,2317563,29.625,106.625,29.625,106.625,116285,1801168,29.625,106.375,29.625,106.375
179,131808,27394429,22.58195714,88.32638686,22.625,88.375,131806,1051660,22.625,87.875,22.625,87.875
180,105905,2923078,33.625,-7.625,33.625,-7.625,105906,1408935,33.625,-7.375,33.625,-7.375
181,160326,2998884,5.625,-0.125,5.625,-0.125,160325,1370030,5.625,-0.375,5.625,-0.375
182,103415,2286011,34.875,135.625,34.875,135.625,103414,1774782,34.875,135.375,34.875,135.375
183,104003,5983920,34.625,135.5289924,34.625,135.625,103415,4060793,34.875,135.5157367,34.875,135.625
185,177333,36154922,-6.296344803,106.8054792,-6.125,106.875,177702,1018900,-6.375,107.375,-6.375,107.375
187,56276,4416361,51.625,-0.210801919,51.625,-0.125,56277,1337582,51.625,0.125,51.625,0.125
188,213525,9337663,-34.625,-58.53640602,-34.625,-58.375,213677,1893395,-34.875,-58.375,-34.875,-58.375
189,213525,11231058,-34.66714641,-58.50919528,-34.625,-58.375,213676,1806174,-34.875,-58.625,-34.875,-58.625
190,112517,33448625,31.23793515,121.3134421,31.125,121.375,113170,1041432,30.875,121.125,30.875,121.125
192,111674,5710753,31.375,74.25811695,31.375,74.375,111031,2684675,31.625,74.375,31.625,74.375
193,111674,8395428,31.45494455,74.2954936,31.375,74.375,111675,1182580,31.375,74.625,31.375,74.625
194,111674,9578008,31.44507394,74.33617718,31.375,74.375,111032,1173280,31.625,74.625,31.625,74.625
195,130372,4559218,23.375,116.5118483,23.375,116.625,130370,1705110,23.375,116.125,23.375,116.125
197,113467,2002081,30.625,31.375,30.625,31.375,113466,1872637,30.625,31.125,30.625,31.125
198,114752,25606727,30.12768987,31.23307189,30.125,31.375,113467,3874718,30.625,31.25417592,30.625,31.375
199,114752,29481445,30.19305086,31.23584558,30.125,31.375,113468,1815342,30.625,31.625,30.625,31.625
