b.censusTracts,=,,,,
,-80.414847,26.104384,14665],,
,-80.12955,26.105661,3929],,
,-80.322471,26.10874,7975],,
,-98.233998,26.109019,7279],,
,-80.381029,26.110314,5833],,
,-81.76728,26.110561,3240],,
,-80.341132,26.110958,7451],,
,-80.209545,26.111344,1871],,
,-80.163692,26.11156,4980],,
,-80.273972,26.113573,7847],,
,-80.133407,26.113816,1296],,
,-80.193947,26.114019,7107],,
,-80.178599,26.114447,7372],,
,-80.227435,26.114529,4266],,
,-80.153075,26.11496,5289],,
,-81.747401,26.115204,3112],,
,-80.358225,26.115402,3334],,
,-81.730224,26.115433,3560],,
,-98.199207,26.115915,9598],,
,-80.3683,26.117614,2592],,
,-81.797245,26.117925,1730],,
,-80.116915,26.120816,3392],,
,-80.140819,26.121053,6890],,
,-97.673648,26.121871,5103],,
,-97.319967,26.122295,4677],,
,-81.771102,26.122674,4279],,
,-80.131045,26.122789,3467],,
,-97.499134,26.122864,10831],,
,-80.381113,26.124431,6364],,
,-97.636399,26.124576,6829],,
,-80.243901,26.124686,5379],,
,-80.323322,26.125511,4480],,
,-80.155849,26.125979,5572],,
,-80.275424,26.126249,6543],,
,-80.393603,26.126966,4494],,
,-80.106333,26.127218,2683],,
,-80.192169,26.127545,6912],,
,-81.712326,26.127575,5548],,
,-80.292196,26.128353,4409],,
,-81.78597,26.128672,1311],,
,-81.76081,26.129276,3836],,
,-80.210562,26.129552,6270],,
,-80.408121,26.130067,7118],,
,-80.132253,26.130365,1787],,
,-80.225636,26.131009,3159],,
,-80.17001,26.131246,2682],,
,-98.197534,26.131304,15668],,
,-80.26094,26.131794,3402],,
,-80.247349,26.131975,2757],,
,-80.159009,26.132258,3241],,
,-97.976166,26.132415,5474],,
,-80.123958,26.132481,3123],,
,-80.272581,26.132509,3252],,
,-97.626568,26.132686,5728],,
,-81.748607,26.133517,2400],,
,-81.798184,26.135722,1556],,
,-80.180712,26.137102,4580],,
,-81.772765,26.137604,2383],,
,-80.146388,26.138113,3797],,
,-80.305224,26.138311,5501],,
,-80.262173,26.140928,4206],,
,-80.126847,26.140929,3565],,
,-80.321929,26.140963,6846],,
,-97.927448,26.14265,4479],,
,-80.277411,26.142826,4510],,
,-80.29219,26.14304,4734],,
,-80.248077,26.143052,5997],,
,-97.903957,26.143712,5262],,
,-80.158191,26.14435,3403],,
,-97.64997,26.144606,6837],,
